time,id
2022/3/6,48
2022/3/7,55
2022/3/8,65
2022/3/9,80
2022/3/10,74
2022/3/11,82
2022/3/12,64
2022/3/13,169
2022/3/14,138
2022/3/15,202
2022/3/16,158
2022/3/17,260
2022/3/18,374
2022/3/19,509
2022/3/20,758
2022/3/21,896
2022/3/22,981
2022/3/23,983
2022/3/24,1609
2022/3/25,2269
2022/3/26,2676
2022/3/27,3500
2022/3/28,4477
2022/3/29,5982
2022/3/30,5653
2022/3/31,4502
2022/4/1,6311
2022/4/2,8226
2022/4/3,9006
2022/4/4,13354
2022/4/5,17077
2022/4/6,19982
2022/4/7,21222
2022/4/8,23624
2022/4/9,24943
2022/4/10,26087
2022/4/11,23342
2022/4/12,26330
2022/4/13,27719
2022/4/14,23072
2022/4/15,23513
2022/4/16,24820
2022/4/17,22172
2022/4/18,20383
2022/4/19,18761
2022/4/20,18398
2022/4/21,17475
2022/4/22,23245
2022/4/23,20850
2022/4/24,19360
2022/4/25,16484
2022/4/26,13562
2022/4/27,10581
2022/4/28,15026
2022/4/29,10181
2022/4/30,7857
2022/5/1,7306
2022/5/2,5662
2022/5/3,4978
2022/5/4,4647
2022/5/5,4267
2022/5/6,4214
2022/5/7,3975
2022/5/8,3937
2022/5/9,3013
2022/5/10,1487
2022/5/11,1446
2022/5/12,2094
2022/5/13,1674
2022/5/14,1367
2022/5/15,938
2022/5/16,822
2022/5/17,847
2022/5/18,710
2022/5/19,848
2022/5/20,867
2022/5/21,620
2022/5/22,556
2022/5/23,480
2022/5/24,387
2022/5/25,338
2022/5/26,264
2022/5/27,164
2022/5/28,122
2022/5/29,67
2022/5/30,31
2022/5/31,12
